cube_sizes,r2_dense,r2_dil
5.0,0.9957086347655684,0.8348320804855163
8.0,0.9968861082761662,0.959132773513609
10.0,0.9950561191604117,0.9741233526130629
15.0,0.9970170550195333,0.9862449233933195
20.0,0.997235156739404,0.9948665440679639
25.0,0.9936532928585701,0.997577514458716
30.0,0.9977214918704868,0.9978601471784372
35.0,0.9977475194605405,0.9986455945135265
40.0,0.9912671033322769,0.9987187694143786
45.0,0.9964064791356109,0.998874764036267
50.0,0.9969960742075802,0.9987982634472804
55.0,0.9821845662164564,0.9988269463671738
60.0,0.9980713203784306,0.9987301619591685
